,Unique,Boro,District,Unit,Order,January,February,March,April,May,June,July,August,September,October,November,December
193,QueensQns (45) Pathfinder 45Troop 0065 BT,Queens,Qns (45) Pathfinder 45,Troop 0065 BT,2 - Troops,15.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,QueensQns (45) Pathfinder 45Troop 0070 FT,Queens,Qns (45) Pathfinder 45,Troop 0070 FT,2 - Troops,50.0,50.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,QueensQns (45) Pathfinder 45Troop 0070 GT,Queens,Qns (45) Pathfinder 45,Troop 0070 GT,2 - Troops,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,QueensQns (45) Pathfinder 45Troop 0096 BT,Queens,Qns (45) Pathfinder 45,Troop 0096 BT,2 - Troops,32.0,32.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,QueensQns (45) Pathfinder 45Troop 0096 GT,Queens,Qns (45) Pathfinder 45,Troop 0096 GT,2 - Troops,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,QueensQns (45) Pathfinder 45Troop 0106 BT,Queens,Qns (45) Pathfinder 45,Troop 0106 BT,2 - Troops,29.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,QueensQns (45) Pathfinder 45Troop 0201 BT,Queens,Qns (45) Pathfinder 45,Troop 0201 BT,2 - Troops,14.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,QueensQns (45) Pathfinder 45Troop 0349 BT,Queens,Qns (45) Pathfinder 45,Troop 0349 BT,2 - Troops,23.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,QueensQns (45) Pathfinder 45Troop 0427 BT,Queens,Qns (45) Pathfinder 45,Troop 0427 BT,2 - Troops,20.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,QueensQns (45) Pathfinder 45Troop 0427 GT,Queens,Qns (45) Pathfinder 45,Troop 0427 GT,2 - Troops,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,QueensQns (45) Pathfinder 45Troop 1923 GT,Queens,Qns (45) Pathfinder 45,Troop 1923 GT,2 - Troops,32.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,QueensQns (45) Pathfinder 45Crew 0201 NA,Queens,Qns (45) Pathfinder 45,Crew 0201 NA,3 - Crews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,QueensQns (45) Pathfinder 45Ship 0441 NA,Queens,Qns (45) Pathfinder 45,Ship 0441 NA,3 - Crews,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,ScoutreachQueens Scoutreach Dist 43Pack 0007 FP,Scoutreach,Queens Scoutreach Dist 43,Pack 0007 FP,1 - Packs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,ScoutreachQueens Scoutreach Dist 43Pack 0130 FP,Scoutreach,Queens Scoutreach Dist 43,Pack 0130 FP,1 - Packs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,ScoutreachQueens Scoutreach Dist 43Pack 0330 FP,Scoutreach,Queens Scoutreach Dist 43,Pack 0330 FP,1 - Packs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Staten IslandSI (50) Aquehonga 50Pack 0002 BP,Staten Island,SI (50) Aquehonga 50,Pack 0002 BP,1 - Packs,25.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Staten IslandSI (50) Aquehonga 50Pack 0004 FP,Staten Island,SI (50) Aquehonga 50,Pack 0004 FP,1 - Packs,33.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Staten IslandSI (50) Aquehonga 50Pack 0005 FP,Staten Island,SI (50) Aquehonga 50,Pack 0005 FP,1 - Packs,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Staten IslandSI (50) Aquehonga 50Pack 0008 BP,Staten Island,SI (50) Aquehonga 50,Pack 0008 BP,1 - Packs,26.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Staten IslandSI (50) Aquehonga 50Pack 0015 BP,Staten Island,SI (50) Aquehonga 50,Pack 0015 BP,1 - Packs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Staten IslandSI (50) Aquehonga 50Pack 0027 BP,Staten Island,SI (50) Aquehonga 50,Pack 0027 BP,1 - Packs,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Staten IslandSI (50) Aquehonga 50Pack 0037 BP,Staten Island,SI (50) Aquehonga 50,Pack 0037 BP,1 - Packs,38.0,38.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Staten IslandSI (50) Aquehonga 50Pack 0076 FP,Staten Island,SI (50) Aquehonga 50,Pack 0076 FP,1 - Packs,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Staten IslandSI (50) Aquehonga 50Pack 0088 FP,Staten Island,SI (50) Aquehonga 50,Pack 0088 FP,1 - Packs,16.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Staten IslandSI (50) Aquehonga 50Pack 0132 FP,Staten Island,SI (50) Aquehonga 50,Pack 0132 FP,1 - Packs,57.0,60.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Staten IslandSI (50) Aquehonga 50Pack 0150 BP,Staten Island,SI (50) Aquehonga 50,Pack 0150 BP,1 - Packs,11.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Staten IslandSI (50) Aquehonga 50Pack 0412 FP,Staten Island,SI (50) Aquehonga 50,Pack 0412 FP,1 - Packs,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Staten IslandSI (50) Aquehonga 50Pack 0587 FP,Staten Island,SI (50) Aquehonga 50,Pack 0587 FP,1 - Packs,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Staten IslandSI (50) Aquehonga 50Pack 2022 FP,Staten Island,SI (50) Aquehonga 50,Pack 2022 FP,1 - Packs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Staten IslandSI (50) Aquehonga 50Pack 3001 FP,Staten Island,SI (50) Aquehonga 50,Pack 3001 FP,1 - Packs,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Staten IslandSI (50) Aquehonga 50Pack 3006 BP,Staten Island,SI (50) Aquehonga 50,Pack 3006 BP,1 - Packs,61.0,61.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,Staten IslandSI (50) Aquehonga 50Pack 3019 FP,Staten Island,SI (50) Aquehonga 50,Pack 3019 FP,1 - Packs,26.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Staten IslandSI (50) Aquehonga 50Pack 3024 FP,Staten Island,SI (50) Aquehonga 50,Pack 3024 FP,1 - Packs,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Staten IslandSI (50) Aquehonga 50Pack 3025 FP,Staten Island,SI (50) Aquehonga 50,Pack 3025 FP,1 - Packs,27.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Staten IslandSI (50) Aquehonga 50Pack 3026 FP,Staten Island,SI (50) Aquehonga 50,Pack 3026 FP,1 - Packs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Staten IslandSI (50) Aquehonga 50Pack 3041 BP,Staten Island,SI (50) Aquehonga 50,Pack 3041 BP,1 - Packs,42.0,41.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Staten IslandSI (50) Aquehonga 50Troop 0001 BT,Staten Island,SI (50) Aquehonga 50,Troop 0001 BT,2 - Troops,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Staten IslandSI (50) Aquehonga 50Troop 0002 BT,Staten Island,SI (50) Aquehonga 50,Troop 0002 BT,2 - Troops,18.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Staten IslandSI (50) Aquehonga 50Troop 0004 BT,Staten Island,SI (50) Aquehonga 50,Troop 0004 BT,2 - Troops,19.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Staten IslandSI (50) Aquehonga 50Troop 0005 BT,Staten Island,SI (50) Aquehonga 50,Troop 0005 BT,2 - Troops,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Staten IslandSI (50) Aquehonga 50Troop 0006 BT,Staten Island,SI (50) Aquehonga 50,Troop 0006 BT,2 - Troops,42.0,42.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Staten IslandSI (50) Aquehonga 50Troop 0007 BT,Staten Island,SI (50) Aquehonga 50,Troop 0007 BT,2 - Troops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,Staten IslandSI (50) Aquehonga 50Troop 0008 BT,Staten Island,SI (50) Aquehonga 50,Troop 0008 BT,2 - Troops,24.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Staten IslandSI (50) Aquehonga 50Troop 0019 FT,Staten Island,SI (50) Aquehonga 50,Troop 0019 FT,2 - Troops,18.0,38.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Staten IslandSI (50) Aquehonga 50Troop 0019 GT,Staten Island,SI (50) Aquehonga 50,Troop 0019 GT,2 - Troops,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Staten IslandSI (50) Aquehonga 50Troop 0024 BT,Staten Island,SI (50) Aquehonga 50,Troop 0024 BT,2 - Troops,28.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Staten IslandSI (50) Aquehonga 50Troop 0025 BT,Staten Island,SI (50) Aquehonga 50,Troop 0025 BT,2 - Troops,18.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Staten IslandSI (50) Aquehonga 50Troop 0025 GT,Staten Island,SI (50) Aquehonga 50,Troop 0025 GT,2 - Troops,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Staten IslandSI (50) Aquehonga 50Troop 0026 BT,Staten Island,SI (50) Aquehonga 50,Troop 0026 BT,2 - Troops,13.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Staten IslandSI (50) Aquehonga 50Troop 0027 BT,Staten Island,SI (50) Aquehonga 50,Troop 0027 BT,2 - Troops,29.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,Staten IslandSI (50) Aquehonga 50Troop 0037 BT,Staten Island,SI (50) Aquehonga 50,Troop 0037 BT,2 - Troops,49.0,49.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Staten IslandSI (50) Aquehonga 50Troop 0041 BT,Staten Island,SI (50) Aquehonga 50,Troop 0041 BT,2 - Troops,27.0,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,Staten IslandSI (50) Aquehonga 50Troop 0074 BT,Staten Island,SI (50) Aquehonga 50,Troop 0074 BT,2 - Troops,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Staten IslandSI (50) Aquehonga 50Troop 0076 BT,Staten Island,SI (50) Aquehonga 50,Troop 0076 BT,2 - Troops,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,Staten IslandSI (50) Aquehonga 50Troop 0076 GT,Staten Island,SI (50) Aquehonga 50,Troop 0076 GT,2 - Troops,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Staten IslandSI (50) Aquehonga 50Troop 0077 BT,Staten Island,SI (50) Aquehonga 50,Troop 0077 BT,2 - Troops,16.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Staten IslandSI (50) Aquehonga 50Troop 0088 FT,Staten Island,SI (50) Aquehonga 50,Troop 0088 FT,2 - Troops,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Staten IslandSI (50) Aquehonga 50Troop 0088 GT,Staten Island,SI (50) Aquehonga 50,Troop 0088 GT,2 - Troops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,Staten IslandSI (50) Aquehonga 50Troop 0132 FT,Staten Island,SI (50) Aquehonga 50,Troop 0132 FT,2 - Troops,16.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Staten IslandSI (50) Aquehonga 50Troop 0150 BT,Staten Island,SI (50) Aquehonga 50,Troop 0150 BT,2 - Troops,24.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,Staten IslandSI (50) Aquehonga 50Troop 0160 BT,Staten Island,SI (50) Aquehonga 50,Troop 0160 BT,2 - Troops,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,Staten IslandSI (50) Aquehonga 50Troop 0222 BT,Staten Island,SI (50) Aquehonga 50,Troop 0222 BT,2 - Troops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,Staten IslandSI (50) Aquehonga 50Troop 0222 GT,Staten Island,SI (50) Aquehonga 50,Troop 0222 GT,2 - Troops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,Staten IslandSI (50) Aquehonga 50Troop 0412 GT,Staten Island,SI (50) Aquehonga 50,Troop 0412 GT,2 - Troops,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,Staten IslandSI (50) Aquehonga 50Troop 0587 BT,Staten Island,SI (50) Aquehonga 50,Troop 0587 BT,2 - Troops,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,Staten IslandSI (50) Aquehonga 50Troop 0587 FT,Staten Island,SI (50) Aquehonga 50,Troop 0587 FT,2 - Troops,10.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,Staten IslandSI (50) Aquehonga 50Troop 4031 BT,Staten Island,SI (50) Aquehonga 50,Troop 4031 BT,2 - Troops,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,Staten IslandSI (50) Aquehonga 50Troop 4031 GT,Staten Island,SI (50) Aquehonga 50,Troop 4031 GT,2 - Troops,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,Staten IslandSI (50) Aquehonga 50Crew 0041 UNK,Staten Island,SI (50) Aquehonga 50,Crew 0041 UNK,3 - Crews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,Staten IslandSI (50) Aquehonga 50Crew 0587 UNK,Staten Island,SI (50) Aquehonga 50,Crew 0587 UNK,3 - Crews,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
