Unique,Boro,District,Unit,Order,January,February,March,April,May,June,July,August,September,October,November,December
Staten IslandSI (50) Aquehonga 50Troop 0027 BT,Staten Island,SI (50) Aquehonga 50,Troop 0027 BT,2 - Troops,0.0,0.0,-2.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0037 BT,Staten Island,SI (50) Aquehonga 50,Troop 0037 BT,2 - Troops,0.0,0.0,-7.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0041 BT,Staten Island,SI (50) Aquehonga 50,Troop 0041 BT,2 - Troops,0.0,0.0,-7.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0074 BT,Staten Island,SI (50) Aquehonga 50,Troop 0074 BT,2 - Troops,0.0,0.0,-1.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0076 BT,Staten Island,SI (50) Aquehonga 50,Troop 0076 BT,2 - Troops,0.0,0.0,-11.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0076 GT,Staten Island,SI (50) Aquehonga 50,Troop 0076 GT,2 - Troops,0.0,0.0,-3.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0077 BT,Staten Island,SI (50) Aquehonga 50,Troop 0077 BT,2 - Troops,0.0,0.0,-2.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0088 FT,Staten Island,SI (50) Aquehonga 50,Troop 0088 FT,2 - Troops,0.0,0.0,-1.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0088 GT,Staten Island,SI (50) Aquehonga 50,Troop 0088 GT,2 - Troops,,0.0,0.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0132 FT,Staten Island,SI (50) Aquehonga 50,Troop 0132 FT,2 - Troops,0.0,0.0,-1.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0150 BT,Staten Island,SI (50) Aquehonga 50,Troop 0150 BT,2 - Troops,0.0,0.0,-2.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0160 BT,Staten Island,SI (50) Aquehonga 50,Troop 0160 BT,2 - Troops,0.0,0.0,-2.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0222 BT,Staten Island,SI (50) Aquehonga 50,Troop 0222 BT,2 - Troops,,0.0,0.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0222 GT,Staten Island,SI (50) Aquehonga 50,Troop 0222 GT,2 - Troops,,0.0,0.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0412 GT,Staten Island,SI (50) Aquehonga 50,Troop 0412 GT,2 - Troops,0.0,0.0,0.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0587 BT,Staten Island,SI (50) Aquehonga 50,Troop 0587 BT,2 - Troops,0.0,0.0,-3.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 0587 FT,Staten Island,SI (50) Aquehonga 50,Troop 0587 FT,2 - Troops,0.0,3.0,1.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 4031 BT,Staten Island,SI (50) Aquehonga 50,Troop 4031 BT,2 - Troops,0.0,-2.0,0.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Troop 4031 GT,Staten Island,SI (50) Aquehonga 50,Troop 4031 GT,2 - Troops,0.0,0.0,0.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Crew 0041 UNK,Staten Island,SI (50) Aquehonga 50,Crew 0041 UNK,3 - Crews,0.0,0.0,0.0,,,,,,,,,
Staten IslandSI (50) Aquehonga 50Crew 0587 UNK,Staten Island,SI (50) Aquehonga 50,Crew 0587 UNK,3 - Crews,0.0,0.0,-1.0,,,,,,,,,
